SKU,Price,Wholesale price
75354865132282,688,581
75354883700841,472,398
75354903624913,336,283
75354925508212,282,238
75354941893783,195,167
75354944192679,195,167
75355976359207,1981.2,1762.8
75391474625322,1014,890
75391475394305,1014,890
75461108778066,103,86
75511167056517,102,228
75511171775173,102,228
75511174682679,102,228
75511633155339,81,228
75511649781629,284,228
75511675551348,169,143
75511691964734,196,166
75511709413251,189,228
75511717928166,122,103
75511737563112,34,228
75511749096827,34,228
75511761602307,27,228
75521370815619,54,46
75521391012831,50,43
75521391949052,50,43
75521407796288,61,52
75521408552667,61,52
75521409650087,61,52
75556431709886,145,120
75573128423895,264,223
75573290853788,13,10
75580899734390,185,162
75580912032141,103,91
75580926382228,8060,7068
75625183867486,185,162
75625187995544,185,162
75648589896472,331,280
75648602647461,378,320
75657705482068,187,158
75657707099541,187,158
75657709856317,187,158
75657712607717,187,158
75657802395155,615,519
75657826482101,621,525
75657836036313,1274,1118
75657845502104,52,44
75657863265701,30,26
75657886809998,162,137
75677321985339,2108.2,1875.8
75677345444772,85,75
75677347476898,85,75
75677348828833,85,75
75677351442742,85,75
75719165343078,227,192
75736764665001,174,156
75745518720266,103,86
75745634736307,167,146
75745636094260,167,146
75745637474515,167,146
75745638692154,167,146
75745646811231,164,144
75745655368182,164,144
75745663984980,134,118
75745665624027,134,118
75745666889096,134,118
75745668150422,134,118
75882377326837,405,342
75935389079129,101.25,85.5
75935391781777,101.25,85.5
75935428010782,179,151
75935452843463,206,181
75960412912626,275,228
75960512532865,176,149
75960522280980,198,167
75960919844511,1439,1275
75961209684463,185,157
75961211019418,185,157
75961241400223,115,97
75961290041531,90,76
75961292455558,90,76
75961294921402,90,76
75961457826016,187,158
75961472426336,169,143
76012618073094,101.25,85.5
76012619710318,101.25,85.5
76046149270034,5174,4538
76081339320586,275,5
76081573518705,27,23
76081575647932,27,23
76081705789462,1164,1021
76082152293549,108,92
76100526294427,275,228
76100527354576,275,228
76106914461969,288,244
76106985805152,53,49
76107022217893,20,18
76107035091204,27,24
76107047435126,20,18
76107058627098,53,49
76107079087110,33,31
76107148695924,45,41
76107157491542,20,18
76107167409071,27,24
76126320655919,118.8,101
76126322215687,118.8,101
76126372715815,459,388
76126374299625,459,388
76126401539501,272,247
76126406488516,272,247
76185783927610,20,12
76195786297998,48,40
76195789130960,48,40
76195807681471,53.76,45.5
76195809176976,53.76,45.5
76195822129961,58.24,48.5
76195824712302,58.24,48.5
76195838800476,43.52,37.5
76195840637251,43.52,37.5
76195852887177,43.52,37.5
76195855067619,43.52,37.5
76195863314799,51.2,37.5
76195865107996,51.2,37.5
7623,275,228
76255975524234,108,92
76255983732009,59,94
76256096468202,22,54
76256116186896,5174,4538
76260163374963,95,54
76289596757185,250,211
76289598474005,250,211
76289608794683,250,211
76289614040507,250,211
76289622046157,250,211
76289655683068,335,283
76289660190125,335,283
76289662391798,335,283
76289688539462,151.04,128
76289690603037,151.04,128
76289709495882,527,445
76289711842552,527,445
76289725428232,426,360
76289728025297,426,360
76289745362684,96,85
76289746885923,96,85
76289759723732,107.52,94
76289762300183,107.52,94
76289790829075,202,170
76289793480055,202,170
76289798053753,202,170
76289799539806,202,170
76289802842023,202,170
76289817247164,202,170
76289818948813,202,170
76289820841131,202,170
76289822255194,202,170
76289824263842,202,170
76298964614442,200,169
76307967971717,1309,1105
76307998443774,2158,1822
76308008365559,138,117
76308012076872,138,117
76308036431381,149,126
76308038378006,149,126
76308044307742,149,126
76308056775629,111,94
76308059418618,111,94
76308068585229,99,84
76308070348658,99,84
76308072532302,99,84
76308074150777,99,84
76308075872796,99,84
76308093543632,113,95
76308096004453,113,95
76365890821103,275,228
76367460048367,655,553
76367794837790,275,228
76367823979178,275,228
76367849452563,275,228
76367858229090,275,228
76367882888423,275,228
76367986977917,275,228
76384124961658,179,151
76384127602504,179,151
76384131837589,179,151
76384157389149,430,363
76384159607316,430,363
76384161293580,430,363
76384163678002,430,363
76384165006516,430,363
76384167288215,430,363
76384178262368,200,169
76384180406816,200,169
76384183375602,200,169
76384217916407,322,272
76384221244157,322,272
76384222540167,322,272
76384224056836,322,272
76384225366900,322,272
76384246555932,497,420
76384256571547,497,420
76384259802472,497,420
76384262420657,497,420
76384263886215,497,420
76384276293246,183,154
76384278155258,183,154
76384279516202,183,154
76384285181779,183,154
76384286626016,183,154
76384341363062,740,625
76384343380642,740,625
76384345487273,740,625
76384347305477,740,625
76384349110571,740,625
76384388187608,180,152
76384391393296,180,152
76384394864301,180,152
76384396486473,180,152
76384399348992,180,152
76418917069723,79,67
76418918272819,79,67
76418920018758,79,67
76428379975842,6683,5643
76438121874659,71,60
76438123387300,71,60
76438130869363,71,60
76438133099870,71,60
76445300154915,119,101
76445301755463,119,101
76445398246376,268,226
76445400435024,268,226
76445403379391,268,226
76445405269926,268,226
76445424880242,229,194
76445426742261,229,194
76487463813814,24,20
76487466532253,24,20
76487477857210,25,22
76487479521915,25,22
76487491917041,40,34
76505096925893,399,337
76532516730694,432,365
